hospital_name,staffed_beds,total_payments,copd_total,copd_ratio,ami_total,ami_ratio,pneumonia_total,pneumonia_ratio,hip_knee_total,hip_knee_ratio,hf_total,hf_ratio
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,370,27208479,971613,1.0243,1111290,0.9860,689343,1.1010,,0.9388,1755483,0.9917
LARGO MEDICAL CENTER,339,31902634,1462758,0.9862,,1.0588,662784,1.0196,3410892,1.0957,1066328,1.0892
JUPITER MEDICAL CENTER,163,19424969,946936,0.9512,433002,0.8522,733012,0.9417,3162058,0.9996,,0.9908
REGIONAL MEDICAL CENTER BAYONET POINT,278,22194592,1205668,1.1269,465845,1.0455,351555,0.9634,,1.0286,1292210,1.0849
ST LUCIE MEDICAL CENTER,229,26477372,1194280,1.0701,551733,1.1017,943237,1.0832,4123036,1.2379,1680409,1.0045
OAK HILL HOSPITAL,262,28425083,1301046,0.9453,623072,1.1164,827220,1.1060,2068340,1.0971,1364222,1.0423
MEASE COUNTRYSIDE HOSPITAL,291,27037113,1114121,0.9082,963959,0.9214,1039497,0.8841,1589806,0.9413,1714794,1.0243
"VILLAGES REGIONAL HOSPITAL, THE",0,37096023,1415276,1.0139,1378501,1.0178,1456407,1.0051,1642498,1.1011,2266446,1.0137
SACRED HEART HOSPITAL ON THE EMERALD COAST,58,7336730,287765,0.9820,,0.9479,526881,0.9429,,0.7263,314719,0.9283
PHOEBE PUTNEY MEMORIAL HOSPITAL,522,35436687,1334114,1.0870,638898,0.9708,1345198,0.9617,2475093,0.8510,1978802,0.9675
EMORY UNIVERSITY HOSPITAL,579,47116193,,1.0219,,1.0107,,0.9550,5491455,0.6322,2493507,0.8331
TANNER MEDICAL CENTER - CARROLLTON,92,16396746,,1.0307,630344,1.0547,567167,0.9694,2125162,0.8453,,1.0003
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,316,26395322,1142850,1.0910,542733,1.0111,1290448,1.0366,,0.7833,1866697,0.9008
UNIVERSITY HOSPITAL,510,51315840,978957,0.9779,824467,0.9970,1848164,1.1250,5586727,0.9090,2534952,0.9704
"NORTHEAST GEORGIA MEDICAL CENTER, INC",774,57461120,781583,1.0119,1042907,0.9115,1699050,1.0930,5564617,0.9731,3003995,0.8787
CARTERSVILLE MEDICAL CENTER,112,12050338,930376,0.9937,,0.9781,,0.9862,,1.0359,,1.0283
SPALDING REGIONAL MEDICAL CENTER,,15885019,1145858,0.9570,328438,0.9343,1159708,1.0927,,1.2215,888826,1.0479
WELLSTAR KENNESTONE HOSPITAL,572,57813021,894427,1.0732,760889,0.9715,2421813,0.9678,4722124,1.1415,3859078,1.0702
"MEMORIAL HEALTH UNIV MED CEN, INC",520,44629226,663289,0.9218,420751,1.1107,617657,0.9655,3557032,1.1766,2428415,1.0296
JOHN D ARCHBOLD MEMORIAL HOSPITAL,328,21739668,400400,1.0475,258805,0.9385,771359,0.9233,1867445,1.2046,1073148,0.8683
ST JOSEPH'S HOSPITAL - SAVANNAH,0,24688556,601764,0.8820,,1.0197,623813,1.0050,5175817,0.8490,1176072,0.9620
FLOYD MEDICAL CENTER,299,26676472,1822509,1.0064,728971,0.9039,,0.9309,,0.9952,1163725,0.9615
ATHENS REGIONAL MEDICAL CENTER,358,41677567,1592496,0.9640,1052257,0.8801,1301011,0.9454,1617587,1.2193,2648489,0.8934
DEKALB MEDICAL CENTER,0,30018394,900692,0.9478,,1.0645,1275559,1.0357,3563393,1.0808,1906213,1.0442
EMORY UNIVERSITY HOSPITAL MIDTOWN,431,36726035,553148,1.0242,,0.9734,763859,1.0653,2387307,0.9771,2658776,0.9454
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",253,32040299,805149,0.9932,,0.8647,846340,0.8905,5732278,0.6195,1556420,0.8977
PIEDMONT HOSPITAL,0,38328495,,0.9523,751257,0.9741,948231,1.0438,5014983,1.1034,2534252,0.9218
GWINNETT MEDICAL CENTER,0,42427388,1921204,0.9041,638781,1.0204,2001990,0.9503,3893719,0.9345,2789194,0.9221
MEDICAL CENTER OF CENTRAL GEORGIA,0,62557036,1637175,1.0081,,1.1695,1599080,1.0355,4619524,0.8491,3043901,0.9477
FAIRVIEW PARK HOSPITAL,160,11413771,640543,0.9599,,0.9428,780525,0.8815,,0.9191,786577,0.9667
"ST FRANCIS HOSPITAL, INC",325,28367026,670956,1.0360,554847,0.9451,1166910,0.8781,,1.1042,1823806,0.8789
WELLSTAR COBB HOSPITAL,370,33746953,1001948,0.9861,,1.0223,1445242,0.9915,2118241,0.9033,2424944,0.9291
COLISEUM MEDICAL CENTER,,23775922,1002708,1.0076,456951,0.9616,723998,1.0633,,0.0000,1259033,1.0748
SOUTHERN REGIONAL MEDICAL CENTER,278,21083005,594252,1.0442,,0.9636,,1.0136,,1.2586,1497280,0.9657
REDMOND REGIONAL MEDICAL CENTER,230,28259148,759622,0.9086,636103,0.8939,979942,0.8767,2770513,1.2228,2161214,0.9494
DOCTORS HOSPITAL,0,45012762,682975,1.0431,,1.0304,653321,1.0435,,0.9422,915290,1.2088
PIEDMONT FAYETTE HOSPITAL,172,22190075,380418,0.8788,371717,1.0354,1172216,0.8700,3337927,0.9682,1394176,0.9585
ST LUKES MAGIC VALLEY RMC,,15547808,,0.9554,,0.9312,1029233,0.9170,2368225,1.1146,613954,0.9948
ST LUKES REGIONAL MEDICAL CENTER,0,53681665,756500,0.9204,751950,0.8240,838181,0.8738,5343282,0.7616,1286645,0.8141
ST ALPHONSUS REGIONAL MEDICAL CENTER,0,25829383,,0.9562,311887,0.8396,,0.8833,5486373,0.8127,,0.8867
EASTERN IDAHO REGIONAL MEDICAL CENTER,300,16124454,463037,0.8760,,0.9009,938595,0.8770,,0.9703,361974,0.8822
PORTNEUF MEDICAL CENTER,175,17819947,,0.9846,,0.8402,731920,0.9694,4071381,0.7016,620376,0.8332
PRESENCE SAINT JOSEPH MEDICAL CENTER,446,54649861,3037403,1.1730,1218924,1.1782,1646186,1.1016,3778086,1.3265,3268459,1.1744
EVANSTON HOSPITAL,676,80795421,2128969,0.9930,1174625,1.0157,3451585,0.9722,10585325,0.7549,5012171,0.9627
PROCTOR HOSPITAL,0,11713481,466922,1.1088,,0.9680,883461,1.1671,,0.8671,543133,0.9705
BLESSING HOSPITAL,287,29022661,1611173,1.0550,482300,1.0465,1995259,1.0196,,1.2854,1696738,0.9576
SHERMAN HOSPITAL,0,26627990,1101823,0.9365,,0.9025,1635199,1.0584,,1.0646,1419287,0.9755
CGH MEDICAL CENTER,90,13234431,811672,1.0497,,0.9953,690587,1.0164,,0.9920,800698,0.9689
GOOD SAMARITAN REGIONAL HLTH CENTER,116,17956733,603893,1.0119,388634,1.0941,875211,1.0451,1727529,0.8135,964409,0.9876
ST JOHNS HOSPITAL,421,45491127,916822,0.9072,994418,0.9332,738928,1.0107,3950896,1.0076,2259035,0.9225
MACNEAL  HOSPITAL,316,27231546,936250,0.9716,,1.0038,846651,0.9879,,1.2172,1429085,0.8817
PALOS COMMUNITY HOSPITAL,362,50572656,1811179,1.0202,788309,1.0470,2836690,1.0954,4619098,0.9384,3390760,1.0781
SAINT FRANCIS MEDICAL CENTER,369,85481761,720169,1.0359,631151,0.9555,672382,1.0160,896326,1.0728,1900870,0.9274
PRESENCE SAINT FRANCIS HOSPITAL,200,27171247,783362,1.0704,,1.0810,888607,1.0662,,1.0261,1695317,1.1157
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,576,51670200,709672,0.8960,,1.0524,,1.0840,3490725,1.1230,2949361,1.0682
CARLE FOUNDATION HOSPITAL,343,32557319,758804,1.0121,,1.0527,689354,0.9955,3317115,1.0328,1647084,0.9041
PRESENCE COVENANT MEDICAL CENTER,198,15149030,846896,1.0876,444727,1.0698,,1.0080,,1.2746,1207219,1.0076
SWEDISH COVENANT HOSPITAL,316,33952694,1062982,1.0905,,0.9883,1648801,0.9988,,0.9619,1647509,1.1097
CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,173,22427880,1120393,0.9365,667680,0.9772,1044532,1.0700,1775498,1.0507,1680702,1.0902
PRESENCE RESURRECTION MEDICAL CENTER,635,42711938,830581,0.9871,,0.9874,1020587,0.8896,,0.9782,2588067,0.9963
RUSH UNIVERSITY MEDICAL CENTER,679,72276554,1238250,1.0902,,0.9453,1248849,1.1204,11799319,1.1880,3174043,1.0322
DECATUR MEMORIAL HOSPITAL,249,24807352,1049660,0.9313,,0.9910,1171621,0.9595,3819306,0.9040,1336531,0.9853
MEMORIAL MEDICAL CENTER,471,67738702,1500077,0.9802,1167873,0.9274,2324890,0.9830,7996756,1.0257,2441480,0.9626
ST JOSEPH MEDICAL CENTER,0,93283602,515758,0.9451,276131,0.9077,557125,0.9922,1515397,0.8036,594356,1.0022
MEMORIAL HOSPITAL OF CARBONDALE,159,24046133,729135,1.0778,661377,0.9749,925217,1.0368,3513868,0.8108,866144,1.0186
ST MARYS HOSPITAL,103,36177395,647086,1.0353,311628,0.8945,680379,0.9654,,1.0505,505852,1.0841
FRANCISCAN ST JAMES HEALTH,0,53352329,1984470,1.0805,1433813,1.0903,1603606,1.1087,,1.2165,4209915,1.1439
CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,133,12063941,582206,1.0116,423859,0.9838,804200,1.0263,,1.1516,660604,1.0359
HEARTLAND REGIONAL MEDICAL CENTER,92,61142183,589553,1.0898,465792,1.0561,868555,1.1697,1135229,0.8361,454098,1.0069
MEMORIAL HOSPITAL,418,61797718,1015960,0.9258,,1.0117,1388247,1.1864,2751153,0.9909,2697723,0.9467
ST ELIZABETH HOSPITAL,260,22702679,,1.1383,411094,1.0566,731759,1.0201,837122,1.0726,1520508,0.9955
SARAH BUSH LINCOLN HEALTH CENTER,109,13001734,1231869,1.0951,,1.0712,1022843,0.9567,1672805,1.0898,1376915,1.1112
ELMHURST MEMORIAL HOSPITAL,282,32571726,1269801,0.8868,399070,1.0467,1422528,0.9743,3157821,1.0806,2036885,0.9440
ADVOCATE CONDELL MEDICAL CENTER,271,35972194,1601354,1.0311,535281,0.9507,1504930,1.0032,2142473,0.9779,1969342,1.0396
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,675,88356658,2724900,0.9677,1340543,1.1311,2710275,1.1026,6537064,1.5760,5527241,0.9577
METHODIST MEDICAL CENTER OF ILLINOIS,0,28681909,1040625,1.0814,,1.0337,899384,1.0377,,0.9036,1316099,1.0562
DELNOR COMMUNITY HOSPITAL,159,13721889,463677,1.0094,,0.9298,1005389,0.9152,2416812,1.0035,859107,0.9621
ADVOCATE LUTHERAN GENERAL HOSPITAL,625,68899638,1529610,1.1703,1068262,1.0234,1098996,1.1769,10295188,1.0911,3033039,1.0071
SWEDISH AMERICAN HOSPITAL,328,28798513,1351322,1.1358,,0.9609,1375430,0.9996,3680127,1.1051,1645289,1.0326
SAINT ANTHONY MEDICAL CENTER,151,24389477,862932,0.9962,293925,1.0152,1216669,1.0675,,0.9966,1238399,0.9146
ROCKFORD MEMORIAL HOSPITAL,300,25577833,1063086,1.0202,,0.9670,1361218,0.8682,,1.1316,1415893,1.0073
CENTRAL DUPAGE HOSPITAL,327,38267723,975843,0.9526,,0.9960,1140258,0.9526,8816520,0.8943,2006729,0.8781
NORTHWEST COMMUNITY HOSPITAL,368,45799729,1480012,0.9013,660758,1.1508,2250096,0.9774,5687408,0.9453,2458518,0.9793
ALEXIAN BROTHERS MEDICAL CENTER,393,45107100,1469814,0.9359,,1.0035,1701847,1.0262,4765842,1.0823,2296145,0.9769
TRINITY ROCK ISLAND,349,34454770,959656,0.9870,1448724,1.0085,1354150,1.0181,2792967,0.7862,1681566,0.9775
NORTHWESTERN MEMORIAL HOSPITAL,893,78998799,1568030,1.0855,718545,1.0724,2336173,1.1006,10090557,1.4026,4384836,1.0214
ADVOCATE GOOD SAMARITAN HOSPITAL,326,35614821,1483088,0.9483,,0.9792,1547596,0.9465,,1.1359,1619196,0.8918
METHODIST HOSPITALS INC,0,43542987,2254702,1.0958,,1.1110,1776950,1.2491,,1.0688,3452642,1.2087
INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,199,9949261,709018,1.0681,,0.9426,936537,1.0349,,1.1541,885001,1.0894
CLARK MEMORIAL HOSPITAL,189,27248524,1486668,1.0442,597562,1.1017,1055848,0.9954,1997045,0.9555,1409513,1.0037
SAINT JOSEPH REGIONAL MEDICAL CENTER,0,30577839,788612,0.9371,468984,0.9244,1477817,0.8896,5218443,0.8349,1807747,0.9285
FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,183,13679045,769114,0.9637,,1.0792,554559,0.9764,,0.8936,1181934,1.0587
LUTHERAN HOSPITAL OF INDIANA,396,30953885,1417112,1.0492,901194,0.9278,961511,0.8748,,0.0000,1834093,0.9718
ELKHART GENERAL HOSPITAL,270,22345670,1141254,1.0906,477025,0.9839,787716,0.9364,,0.7578,1796970,1.0329
PARKVIEW REGIONAL MEDICAL CENTER,649,36000006,1196367,0.9898,1065236,0.8484,1161222,0.8420,,0.9155,2614816,0.9133
UNION HOSPITAL INC,317,39365998,2750231,1.1202,2025570,0.9254,2159714,1.1066,3015234,0.9581,2229794,0.9765
IU HEALTH GOSHEN HOSPITAL,0,7795494,478957,1.1367,,1.0559,838503,1.0043,,1.0304,487494,0.9340
ST MARY MEDICAL CENTER INC,195,30170288,1950188,1.0811,,0.9545,1423862,1.1394,3233932,0.9476,2386452,1.1327
PORTER REGIONAL HOSPITAL,249,26232576,1149392,0.9768,374739,0.9270,960982,0.9121,2709248,1.1337,1288286,1.0283
FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,211,34053523,1655311,1.0682,,0.9791,1978141,1.0099,2138722,1.2213,1387458,1.0559
REID HOSPITAL & HEALTH CARE SERVICES,223,32163579,1486428,0.9513,879265,0.8923,2328858,0.8776,3165127,1.2256,2153929,0.9445
INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,266,27219384,893290,1.0229,670955,0.8001,1491468,0.8983,2803597,0.6914,915052,0.8864
INDIANA UNIVERSITY HEALTH,0,107930319,3223063,1.0436,1153303,1.0010,3000894,0.9802,4491959,0.9231,4187003,1.0363
MEMORIAL HOSPITAL OF SOUTH BEND,0,32982794,835747,1.0065,,0.8948,1330897,0.8802,4862452,0.9776,1678388,0.8584
RIVERVIEW HOSPITAL,0,7264554,383750,0.9246,,0.9500,597329,0.8773,,0.9364,373864,0.9329
DEACONESS HOSPITAL INC,484,51959122,2348653,1.0503,662733,0.9290,2047686,1.0709,4718530,0.9585,2649145,1.0239
ST VINCENT HOSPITAL & HEALTH SERVICES,0,60507816,1354670,0.9275,,1.0152,1361591,0.8995,3222037,0.8025,3307905,0.9189
ST VINCENT ANDERSON REGIONAL HOSPITAL INC,274,16208767,1021521,0.9306,,1.0365,1137926,1.0284,2088214,1.2065,771559,1.0507
INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,352,42360416,1716053,0.8814,575575,1.0608,1909598,0.9695,4275994,0.9046,1978353,1.0088
ST MARY'S MEDICAL CENTER OF EVANSVILLE INC,0,34014577,814395,0.9271,454537,1.1288,1117364,0.9552,5016511,1.1365,1290866,0.8652
FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,182,20081742,,0.9461,,0.9565,,0.9748,5102374,0.8812,689524,0.8810
COLUMBUS REGIONAL HOSPITAL,168,22090895,883424,0.9429,505365,1.0696,915112,0.8485,2330195,0.8887,1106388,0.8322
MEMORIAL HOSPITAL AND HEALTH CARE CENTER,158,12684815,352297,0.8878,311159,0.8475,,0.9444,2545586,0.8575,,0.8943
COMMUNITY HOSPITAL,42,56284214,868949,1.0571,370895,1.0080,249292,1.0908,1405325,1.1024,586909,1.0309
FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,260,20816229,1120652,0.9967,,0.9855,1084409,1.0097,2222902,1.0189,1903828,0.9908
COMMUNITY HOSPITAL SOUTH,135,14961217,576674,0.9086,,0.9708,939215,1.0244,2396610,1.1630,889598,0.8968
ST VINCENT HEART CENTER OF INDIANA LLC,107,13140959,,1.0023,944901,0.7688,,0.9940,,0.0000,935693,0.9213
INDIANA HEART HOSPITAL THE,0,7765102,,0.9953,,1.0639,,0.0000,,0.0000,712469,0.9965
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,415,37415513,1542251,0.7963,425016,0.9449,1675885,0.8712,1615001,1.1188,1938931,0.8641
MONROE HOSPITAL,32,1959949,,1.0439,,0.0000,,0.9892,,1.0772,,0.9422
INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,180,19092868,607350,1.0120,,0.9024,1578628,0.9442,1123534,0.9076,1015170,0.9360
THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,24,3144913,,0.0000,291377,0.9595,,0.0000,,0.0000,,1.0515
TRINITY REGIONAL MEDICAL CENTER,0,9264382,437133,0.9811,,0.9280,962307,0.9954,956961,1.0562,656926,0.8445
GENESIS MEDICAL CENTER-DAVENPORT,292,39395577,989642,0.9152,522702,0.8311,2115095,0.9006,5351603,0.8828,1970785,0.9048
ST LUKES HOSPITAL,339,82553771,650827,0.9667,380806,0.9383,1359249,1.0436,3889322,0.9048,1075867,0.9244
UNIVERSITY OF IOWA HOSPITAL & CLINICS,693,49441069,450659,0.9548,,0.9081,1198520,1.0716,5227490,0.9504,1707428,0.9395
MERCY MEDICAL CENTER-NORTH IOWA,0,30282514,536402,0.9415,656343,0.8678,949005,0.9382,4842865,0.7656,1402719,0.9843
MERCY MEDICAL CENTER-DUBUQUE,0,15356292,389952,1.0329,,1.0207,905932,1.0037,2880702,1.0697,856425,0.9770
MERCY MEDICAL CENTER - CEDAR RAPIDS,0,22229699,633829,1.0275,541650,1.0189,1924054,1.1076,3816425,0.7764,923968,0.9432
MERCY MEDICAL CENTER-CLINTON,0,13005059,462654,1.0947,472426,0.8738,1235843,1.0253,,1.0334,847167,0.9421
IOWA METHODIST MEDICAL CENTER,480,46271929,827103,0.9310,738002,0.8332,1344267,0.8813,10079612,0.7812,1547913,0.8981
MERCY MEDICAL CENTER-DES MOINES,0,63046893,1499987,0.9280,565212,0.8523,3063947,0.9225,8456986,0.8728,2719892,0.9331
ALLEN MEMORIAL HOSPITAL,,25830014,340318,1.0394,809113,1.0361,1194923,1.1165,2990696,1.1338,1645630,0.9952
MERCY MEDICAL CENTER-SIOUX CITY,0,19199713,507352,0.9686,367436,0.9192,588714,0.9150,1237598,0.9683,834035,0.8865
VIA CHRISTI HOSPITAL PITTSBURG INC,111,5804911,333875,1.0023,372287,0.9874,669934,0.9316,,1.0335,394573,0.9391
SALINA REGIONAL HEALTH CENTER,198,15007477,520116,0.9070,,0.9390,837057,0.9569,1873464,0.8601,361164,0.9465
HAYS MEDICAL CENTER,139,18968368,,0.9180,587815,0.7512,835151,0.9774,2314533,0.9334,953647,0.8771
ST FRANCIS HEALTH CENTER INC,291,18895779,343491,0.9129,,0.8906,932309,0.9208,3307374,1.1587,803575,0.9131
HUTCHINSON REGIONAL MEDICAL CENTER INC,176,16491484,714949,0.8943,,0.9728,1664870,0.9445,2655961,0.9442,640056,0.8077
UNIVERSITY OF KANSAS HOSPITAL,672,44206551,,0.9833,,1.0979,,1.0382,2568487,0.9498,1761633,0.9789
OLATHE MEDICAL CENTER,229,17630904,606484,0.9951,352314,1.0330,772046,0.9151,2478352,0.8239,1032962,0.9873
STORMONT-VAIL HEALTHCARE,412,46530932,1491812,1.0124,521809,0.9925,1474945,0.9543,5139896,0.9778,2027835,0.9715
SHAWNEE MISSION MEDICAL CENTER,368,26172867,772144,0.9485,,1.0696,1321602,0.9795,,1.1214,1558420,0.9780
VIA CHRISTI HOSPITALS WICHITA INC,,69604786,704782,0.8836,1450390,0.8638,2803846,0.9193,4690555,0.9774,3253032,0.8801
WESLEY MEDICAL CENTER,579,56586927,565405,1.0041,988298,0.9366,1115732,1.0409,3743125,0.8728,1409348,0.9035
LAWRENCE MEMORIAL HOSPITAL,152,12438665,,1.0494,,0.9534,,1.0090,2061638,0.6380,,0.9638
PROVIDENCE MEDICAL CENTER,158,14993364,731402,1.0676,370423,0.9883,523756,1.0641,,0.9509,1138002,1.0509
KANSAS HEART HOSPITAL,46,5026674,,0.0000,,0.8187,,0.0000,,0.0000,391291,0.8803
SALINA SURGICAL HOSPITAL,15,2078060,,0.0000,,0.0000,,0.0000,,0.9692,,0.0000
GALICHIA HEART HOSPITAL LLC,,1941945,,,,,,,,,,
HEARTLAND SURGICAL SPEC HOSPITAL,,1033484,,,,,,,,,,
KANSAS MEDICAL CENTER LLC,56,6440128,,0.9793,,0.8462,,0.9416,,0.6853,299334,0.8284
KING'S DAUGHTERS' MEDICAL CENTER,465,53111520,2966598,1.0656,960111,1.0585,2348096,1.0765,3018544,1.1935,2693475,1.1469
SAINT JOSEPH HOSPITAL,292,42411568,724868,0.9805,929056,1.0471,1994191,0.9828,,1.0476,1963182,1.0521
HARDIN MEMORIAL HOSPITAL,300,27587559,1777429,1.0353,731645,1.0104,1986755,1.0120,2608813,0.7481,2095341,0.9685
THE MEDICAL CENTER AT BOWLING GREEN,0,37607344,1694493,1.1199,1209998,1.0560,1782187,1.0343,2004813,1.0854,2281353,1.1030
MURRAY-CALLOWAY COUNTY HOSPITAL,378,7293980,,1.0217,,1.1149,926765,1.0165,,1.0037,583323,1.0740
ST ELIZABETH MEDICAL CENTER NORTH,,48534165,1393731,1.0383,1192658,1.0139,2047059,0.9476,4679429,1.1912,3488814,0.9939
OWENSBORO MEDICAL HEALTH SYSTEM,,47274522,1302430,0.9493,1208427,0.9843,1958402,0.8456,4461008,0.7785,3115196,0.8833
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,0,79885905,3318268,0.9999,1498916,1.1086,2971560,1.1172,6627654,1.0401,4063352,1.0386
PIKEVILLE MEDICAL CENTER,261,37017049,1184841,1.0551,855811,1.1083,1208126,0.9943,3768385,0.8067,1663137,1.0931
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,0,17069814,752953,0.9813,456122,0.9448,1263240,1.0656,,0.9505,1014699,0.9097
JENNIE STUART MEDICAL CENTER,194,11293886,1610473,1.2504,,1.0400,1214762,1.1693,,1.0453,512610,1.1072
UNIVERSITY OF KENTUCKY HOSPITAL,718,67494230,846183,0.9982,1658933,1.1983,1522963,1.0180,10320814,0.8287,2052206,1.1670
"NORTON HOSPITALS, INC",1295,108095131,4585022,0.9962,1925665,1.0268,4864126,1.0515,10139345,0.9475,5530070,0.9639
REGIONAL MEDICAL CENTER OF HOPKINS COUNTY,,19767978,775414,1.0149,750137,0.9698,1508261,1.0453,,0.8973,,1.0660
LOURDES HOSPITAL,298,23830285,735840,1.0491,,0.9746,945315,0.9096,3643968,1.0079,1153519,0.8855
CENTRAL BAPTIST HOSPITAL,,34184741,612573,0.9637,512849,1.0041,1142783,1.0620,2990066,0.9657,1486097,0.9466
WESTERN BAPTIST HOSPITAL,,30471530,1315301,1.0125,720651,1.0528,1310622,0.9767,2279093,1.0180,1329449,1.0160
BAPTIST HEALTH LOUISVILLE,519,56122234,1603094,0.9782,790523,0.9515,2800314,0.9864,10245269,0.8747,2968477,0.9024
LAKE CUMBERLAND REGIONAL HOSPITAL,295,28767671,1840106,1.0491,643188,1.0824,2005345,0.9976,,0.8762,1126734,1.0586
LAFAYETTE GENERAL MEDICAL CENTER,351,30264263,1243796,0.9803,292597,1.1077,1093167,0.8646,2337651,1.0416,1664349,1.0146
THIBODAUX REGIONAL MEDICAL CENTER,164,13212472,449471,0.9758,,1.0563,408116,1.0195,,1.1838,1434149,1.0422
TERREBONNE GENERAL MEDICAL CENTER,210,20132584,720060,0.9916,,0.9879,860632,0.9850,,1.0908,1112592,0.9988
"NORTH OAKS MEDICAL CENTER, L L C",344,26295732,1331527,1.0686,,1.0342,1493349,1.1411,1204644,1.0481,1612093,0.9980
CHRISTUS ST FRANCES CABRINI HOSPITAL,303,24392693,714620,0.9458,,1.0905,834973,0.9409,1174079,1.2104,1698016,0.9678
RAPIDES REGIONAL MEDICAL CENTER,323,31786784,823128,0.9837,431302,1.0315,1219441,0.9931,,0.9303,1396553,0.9442
CHRISTUS ST PATRICK HOSPITAL,145,15613002,801435,0.9888,,0.9408,864093,0.9824,,1.0006,1011542,0.9213
OCHSNER MEDICAL CENTER,83,47333216,786025,1.0986,1079889,1.1700,1025446,1.0675,,1.1826,3569131,1.0940
SLIDELL MEMORIAL HOSPITAL,237,7835997,544745,0.9616,,1.0403,534080,0.9827,,0.8605,777497,1.0318
ST TAMMANY PARISH HOSPITAL,236,15742384,594905,0.9920,,1.0243,667178,0.9731,1396569,1.1382,833736,1.0164
LAKE CHARLES MEMORIAL HOSPITAL,289,19731590,756913,1.0059,,1.0147,1173190,0.9473,,1.0548,1354597,1.0916
OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,692,40800235,754458,0.8650,617223,0.8991,1213670,0.8433,5273933,0.7481,1629122,0.9463
BATON ROUGE GENERAL MEDICAL CENTER,0,35912200,375989,1.0137,,1.0100,687526,1.0184,1668739,1.1061,2639210,1.0618
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",186,20710596,606407,1.0566,,1.0064,1156327,0.9357,2225693,0.7583,1176318,0.9317
WILLIS KNIGHTON MEDICAL CENTER,747,58051952,1729438,0.8963,645043,0.9703,2345041,0.8710,4706958,1.0189,4759392,0.8753
ST FRANCIS MEDICAL CENTER,550,87277402,850258,0.9374,496239,0.9995,1120744,0.9713,2775523,0.8806,1578807,1.0392
EAST JEFFERSON GENERAL HOSPITAL,419,22882396,754782,1.0577,,0.8750,1102559,0.8947,2131914,0.9143,1146520,0.8575
GLENWOOD REGIONAL MEDICAL CENTER,274,22964730,933521,1.1255,717012,1.1237,1148243,1.0425,,0.0000,1839969,1.2254
LAKEVIEW REGIONAL MEDICAL CENTER,180,9146833,326702,1.0714,,0.9763,475712,0.9814,,1.0415,489136,0.9494
THE REGIONAL MEDICAL CENTER OF ACADIANA,289,12858401,411377,1.0000,,1.0119,,0.9741,,1.0635,562450,1.0663
LOUISIANA  HEART HOSPITAL,0,2236690,,0.9667,,1.0433,,0.9368,,0.0000,,0.9177
HEART HOSPITAL OF LAFAYETTE,32,3178199,,1.0138,260677,0.9373,,0.9650,,0.0000,327372,0.9492
MAINE MEDICAL CENTER,627,62413460,1048625,0.9181,1884573,0.8301,1562479,0.9007,8661405,0.7617,2845861,0.8313
CENTRAL MAINE MEDICAL CENTER,237,20027253,442579,0.9418,657303,0.9195,673493,1.0247,,1.0993,718297,0.8526
EASTERN MAINE MEDICAL CENTER,349,46585999,957393,0.9773,2472319,0.8784,1471043,1.0424,3773663,0.9243,1674796,0.8733
MERITUS MEDICAL CENTER,265,49586026,1729019,0.9894,1048640,0.9059,3854218,0.9691,6167362,0.7764,1222966,0.9900
UNIVERSITY OF MARYLAND MEDICAL CENTER,688,79867433,837105,0.9978,1425814,1.1212,,1.1339,3779864,1.0383,1833430,1.1379
HOLY CROSS HOSPITAL,264,82632845,1006407,0.9894,773312,1.0334,716113,1.0345,993569,1.1003,1600018,1.0677
SAINT JOSEPH MEDICAL CENTER,,53511596,1296460,0.9390,1104838,0.8710,1037263,0.9981,7364314,0.9798,2504941,0.9570
MERCY MEDICAL CENTER INC,288,34683387,1252047,0.9765,,1.0934,746708,1.0591,10687536,1.1874,1604536,1.0332
"JOHNS HOPKINS HOSPITAL, THE",483,107362213,1361757,0.9804,2119812,1.0611,2166555,1.0991,,0.0000,6004902,1.0214
SAINT AGNES HOSPITAL,311,66991742,2750155,1.0042,910887,0.8924,3556625,1.0101,5545051,1.5079,3430036,1.0693
