hospital_name,city,state,staffed_beds,total_discharges,patient_days,gross_patient_revenue
GOOD SAMARITAN HOSPITAL NORTH,Bakersfield,California,154,3416,15765,55428
GREATER EL MONTE COMMUNITY HOSPITAL,South El Monte,California,117,3829,12378,313911
HARBOR-UCLA MEDICAL CENTER,Torrance,California,464,19709,106685,2349550
HAZEL HAWKINS MEMORIAL HOSPITAL,Hollister,California,171,2700,7844,247971
HEMET VALLEY MEDICAL CENTER,Hemet,California,417,10954,50816,719570
HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Valencia,California,238,11086,49682,1331193
HI-DESERT MEDICAL CENTER,Joshua Tree,California,171,3220,11303,196959
HIGHLAND HOSPITAL,Oakland,California,437,10720,48196,1239700
HOAG HOSPITAL IRVINE,Irvine,California,0,0,0,
HOAG HOSPITAL NEWPORT BEACH,Newport Beach,California,354,24984,115052,2083724
HOAG ORTHOPEDIC INSTITUTE,Irvine,California,70,3867,9423,260859
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,California,434,12879,61379,954954
HUNTINGTON BEACH HOSPITAL,Huntington Beach,California,131,3303,12380,212388
HUNTINGTON HOSPITAL,Pasadena,California,548,24877,114821,2165001
INLAND VALLEY MEDICAL CENTER,Wildomar,California,0,0,0,
JOHN F. KENNEDY MEMORIAL HOSPITAL,Indio,California,145,8693,29506,798125
"JOHN MUIR MEDICAL CENTER, CONCORD CAMPUS",Concord,California,255,9259,40125,2001942
JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Walnut Creek,California,420,16927,82383,2960233
KAISER MORENO VALLEY MEDICAL CENTER,Moreno Valley,California,71,4240,14203,
KAISER PERMANENTE ANAHEIM MEDICAL CENTER,Anaheim,California,436,23670,98017,
KAISER PERMANENTE BALDWIN PARK MEDICAL CENTER,Baldwin Park,California,257,12327,44940,
KAISER PERMANENTE DOWNEY MEDICAL CENTER,Downey,California,0,0,0,
KAISER PERMANENTE FONTANA MEDICAL CENTER,Fontana,California,843,27785,115894,
KAISER PERMANENTE FRESNO MEDICAL CENTER,Fresno,California,169,7024,26727,
KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,Los Angeles,California,461,23579,113864,
KAISER PERMANENTE OAKLAND MEDICAL CENTER,Oakland,California,391,16895,74889,
KAISER PERMANENTE ONTARIO MEDICAL CENTER,Ontario,California,0,0,0,
KAISER PERMANENTE ORANGE COUNTY-IRVINE MEDICAL CENTER,Irvine,California,0,0,0,
KAISER PERMANENTE PANORAMA CITY MEDICAL CENTER,Panorama City,California,218,10668,42783,
KAISER PERMANENTE REDWOOD CITY MEDICAL CENTER AND MEDICAL OFFICES,Redwood City,California,213,7598,31677,
KAISER PERMANENTE RIVERSIDE MEDICAL CENTER,Riverside,California,226,9369,50885,
KAISER PERMANENTE ROSEVILLE MEDICAL CENTER,Roseville,California,340,17581,73126,
KAISER PERMANENTE SACRAMENTO MEDICAL CENTER,Sacramento,California,270,9841,43208,
KAISER PERMANENTE SAN DIEGO MEDICAL CENTER/KAISER FOUNDATION HOSPITAL,San Diego,California,414,24473,96292,
KAISER PERMANENTE SAN FRANCISCO MEDICAL CENTER,San Francisco,California,236,11572,55571,
KAISER PERMANENTE SAN JOSE MEDICAL CENTER,San Jose,California,230,11267,43217,
KAISER PERMANENTE SAN LEANDRO HOSPITAL,San Leandro,California,0,0,0,
KAISER PERMANENTE SAN RAFAEL MEDICAL CENTER,San Rafael,California,116,4797,18524,
KAISER PERMANENTE SANTA CLARA MEDICAL CENTER - HOMESTEAD CAMPUS,Santa Clara,California,327,19849,90871,
KAISER PERMANENTE SANTA ROSA MEDICAL CENTER,Santa Rosa,California,173,8088,29546,
KAISER PERMANENTE SOUTH BAY MEDICAL CENTER,Harbor City,California,229,12188,48026,
KAISER PERMANENTE SOUTH SACRAMENTO MEDICAL CENTER,Sacramento,California,217,12290,45772,
KAISER PERMANENTE SOUTH SAN FRANCISCO MEDICAL CENTER AND MEDICAL OFFICES,South San Francisco,California,120,5176,19410,
KAISER PERMANENTE VACAVILLE MEDICAL CENTER,Vacaville,California,112,4424,17734,
KAISER PERMANENTE VALLEJO MEDICAL CENTER ,Vallejo,California,248,9191,38025,
KAISER PERMANENTE WALNUT CREEK MEDICAL CENTER,Walnut Creek,California,233,14209,62445,
KAISER PERMANENTE WEST LOS ANGELES MEDICAL CENTER,Los Angeles,California,288,12153,42859,
KAISER PERMANENTE WOODLAND HILLS MEDICAL CENTER,Woodland Hills,California,262,10504,41117,
KAWEAH DELTA HEALTH CARE DISTRICT,Visalia,California,581,18438,90478,1592374
KECK HOSPITAL OF USC,Los Angeles,California,359,9956,72381,2572899
KERN MEDICAL CENTER,Bakersfield,California,222,10354,55536,639875
LA PALMA INTERCOMMUNITY HOSPITAL,La Palma,California,141,3351,15358,205098
LAGUNA HONDA HOSPITAL,San Francisco,California,780,112,524,266430
LAKEWOOD REGIONAL MEDICAL CENTER,Lakewood,California,172,8112,36182,957100
LANTERMAN DEVELOPMENTAL CENTER,Pomona,California,67,48,616,96053
LODI MEMORIAL HOSPITAL,Lodi,California,190,6471,32437,1189404
LOMA LINDA UNIVERSITY HEART & SURGICAL HOSPITAL,Redlands,California,0,0,0,
LOMA LINDA UNIVERSITY MEDICAL CENTER,Loma Linda,California,854,30855,185979,5148660
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,Murrieta,California,106,8523,30349,723166
LOMA LINDA UNIVERSITY MEDICAL CENTER EAST CAMPUS,Loma Linda,California,0,0,0,
LOMPOC VALLEY MEDICAL CENTER,Lompoc,California,170,2344,9362,105652
LONG BEACH MEMORIAL MEDICAL CENTER,Long Beach,California,462,20769,89950,1853331
LOS ALAMITOS MEDICAL CENTER,Los Alamitos,California,167,9299,38133,1184927
LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,California,180,8767,40781,353322
LOS ANGELES COMMUNITY HOSPITAL AT NORWALK,Norwalk,California,0,0,0,
LOS ANGELES COUNTY AND UNIVERSITY OF SOUTHERN CALIFORNIA MEDICAL CENTER,Los Angeles,California,667,30245,179132,1870786
LOS ROBLES HOSPITAL AND MEDICAL CENTER,Thousand Oaks,California,334,14608,71477,2015754
MAD RIVER COMMUNITY HOSPITAL,Arcata,California,78,2126,9317,153721
MADERA COMMUNITY HOSPITAL,Madera,California,106,4446,23689,184578
MANTECA MEDICAL CENTER,Manteca,California,239,9030,35156,
MARIAN REGIONAL MEDICAL CENTER,Santa Maria,California,286,10480,44141,1107236
MARIN GENERAL HOSPITAL,Greenbrae,California,235,8739,37409,1487737
MARINA DEL REY HOSPITAL,Marina Del Rey,California,90,4254,14570,405215
MARSHALL MEDICAL CENTER,Placerville,California,112,5174,21522,901057
MEE MEMORIAL HOSPITAL,King City,California,95,1305,5348,200660
MEMORIAL HOSPITAL LOS BANOS,Los Banos,California,46,1377,4676,189509
MEMORIAL HOSPITAL OF GARDENA,Gardena,California,172,6608,30224,587472
MEMORIAL MEDICAL CENTER,Modesto,California,423,17307,83365,2256527
MENIFEE VALLEY MEDICAL CENTER,Menifee,California,84,3071,12299,210784
MENLO PARK SURGICAL HOSPITAL,Menlo Park,California,16,246,298,43021
MERCY GENERAL HOSPITAL,Sacramento,California,304,15879,67676,2410732
MERCY HOSPITAL OF FOLSOM,Folsom,California,106,4981,20655,607752
MERCY HOSPITALS OF BAKERSFIELD - TRUXTON CAMPUS,Bakersfield,California,222,12031,51113,954443
MERCY HOSPITALS SOUTHWEST,Bakersfield,California,0,0,0,
MERCY MEDICAL CENTER MERCED,Merced,California,186,10172,46536,981493
MERCY MEDICAL CENTER REDDING,Redding,California,267,12750,57697,1400990
MERCY SAN JUAN MEDICAL CENTER,Carmichael,California,370,17782,97946,2194488
METHODIST HOSPITAL,Arcadia,California,581,17459,65589,1237472
METHODIST HOSPITAL OF SACRAMENTO,Sacramento,California,333,9885,38770,1038155
MILLS-PENINSULA MEDICAL CENTER,Burlingame,California,376,12465,50042,1495221
MIRACLE MILE MEDICAL CENTER,Los Angeles,California,17,201,594,49924
MISSION COMMUNITY HOSPITAL - PANORAMA CITY CAMPUS,Panorama City,California,120,8392,42970,365742
MISSION HOSPITAL LAGUNA BEACH,Laguna Beach,California,189,3028,14617,246219
MISSION HOSPITAL MISSION VIEJO,Mission Viejo,California,523,17872,79519,1773992
MISSION HOSPITAL OF HUNTINGTON PARK,Huntington Park,California,0,0,0,
MODESTO MEDICAL CENTER,Modesto,California,0,0,0,
MONTCLAIR HOSPITAL MEDICAL CENTER,Montclair,California,102,3735,13723,158634
MONTEREY PARK HOSPITAL,Monterey Park,California,101,4681,15299,484252
MOTION PICTURE & TELEVISION HOSPITAL,Woodland Hills,California,250,144,566,85680
NATIVIDAD MEDICAL CENTER,Salinas,California,172,7847,34162,780302
NAVAL HOSPITAL CAMP PENDLETON,Camp Pendleton,California,0,0,0,
NAVAL HOSPITAL LEMOORE,Lemoore,California,0,0,0,
NAVAL MEDICAL CENTER SAN DIEGO,San Diego,California,0,0,0,
NORTHBAY MEDICAL CENTER,Fairfield,California,180,8797,38928,2267162
NORTHBAY VACAVALLEY HOSPITAL,Vacaville,California,50,2683,11822,540493
NORTHRIDGE HOSPITAL MEDICAL CENTER,Northridge,California,411,13788,58564,1724974
NOVATO COMMUNITY HOSPITAL,Novato,California,47,1615,5104,205428
O'CONNOR HOSPITAL,San Jose,California,348,11725,51605,1464430
OAK VALLEY HOSPITAL,Oakdale,California,150,1220,4958,215376
OJAI VALLEY COMMUNITY HOSPITAL,Ojai,California,103,784,2389,103329
OLIVE VIEW-UCLA MEDICAL CENTER,Sylmar,California,270,12745,56576,930289
OLYMPIA MEDICAL CENTER,Los Angeles,California,204,6051,29294,837514
ORANGE COAST MEMORIAL MEDICAL CENTER,Fountain Valley,California,218,12855,49093,951128
OROVILLE HOSPITAL,Oroville,California,153,10355,38648,761645
ORTHOPAEDIC INSTITUTE FOR CHILDREN ,Los Angeles,California,112,970,3155,56114
PACIFIC ALLIANCE MEDICAL CENTER,Los Angeles,California,142,6713,28389,227592
PACIFICA HOSPITAL OF THE VALLEY,Sun Valley,California,231,5137,27062,187625
PALMDALE REGIONAL MEDICAL CENTER,Palmdale,California,157,7952,34528,825610
PALO VERDE HOSPITAL,Blythe,California,51,1276,4133,81601
PALOMAR MEDICAL CENTER,Escondido,California,649,20546,85241,1820318
PARADISE VALLEY HOSPITAL,National City,California,291,10452,56098,484673
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,Riverside,California,193,8984,41293,665951
PATIENTS HOSPITAL OF REDDING,Redding,California,10,229,492,36790
PETALUMA VALLEY HOSPITAL,Petaluma,California,80,2672,9621,353995
PIH HEALTH HOSPITAL - DOWNEY,Downey,California,199,12255,44278,967680
PIH HEALTH HOSPITAL - WHITTIER,Whittier,California,439,18775,78778,2943914
PIONEERS MEMORIAL HOSPITAL,Brawley,California,107,5579,18960,411919
PLACENTIA-LINDA HOSPITAL,Placentia,California,114,3718,12586,432551
POMERADO HOSPITAL,Poway,California,236,5681,22201,570604
POMONA VALLEY HOSPITAL MEDICAL CENTER,Pomona,California,393,20473,105900,2771211
PORTERVILLE DEVELOPMENTAL CENTER,Porterville,California,44,58,1571,149107
PROVIDENCE HOLY CROSS MEDICAL CENTER,Mission Hills,California,377,15992,76142,2238855
PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER SAN PEDRO,San Pedro,California,308,5777,24289,773395
PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,Torrance,California,442,17679,72855,1804420
PROVIDENCE SAINT JOSEPH MEDICAL CENTER,Burbank,California,340,18061,81225,2232787
PROVIDENCE TARZANA MEDICAL CENTER,Tarzana,California,249,13434,66418,1390745
QUEEN OF THE VALLEY MEDICAL CENTER,Napa,California,191,7423,33628,1183095
RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,Downey,California,289,2163,31783,393482
RANCHO SPRINGS MEDICAL CENTER,Murrieta,California,242,14894,59365,771362
REDLANDS COMMUNITY HOSPITAL,Redlands,California,229,10706,44659,884767
REGIONAL MEDICAL CENTER OF SAN JOSE,San Jose,California,227,11955,63661,2501255
RIDEOUT MEMORIAL HOSPITAL,Marysville,California,277,12452,56073,1007554
RIVERSIDE COMMUNITY HOSPITAL,Riverside,California,373,21901,108402,2554580
RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,Moreno Valley,California,439,24266,124599,1513239
ROBERT E. BUSH NAVAL HOSPITAL,Twentynine Palms,California,0,0,0,
RONALD REAGAN UCLA MEDICAL CENTER,Los Angeles,California,466,22881,162472,3406553
SADDLEBACK MEMORIAL MEDICAL CENTER - LAGUNA HILLS,Laguna Hills,California,325,15586,65816,1292985
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,San Clemente,California,73,2891,9007,97245
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,San Clemente,California,0,0,0,
SAINT AGNES MEDICAL CENTER,Fresno,California,436,22429,97654,1615950
SAINT BERNARDINE MEDICAL CENTER,San Bernardino,California,342,15768,72047,1417514
SAINT ELIZABETH COMMUNITY HOSPITAL,Red Bluff,California,76,2989,9015,288171
SAINT FRANCIS MEDICAL CENTER,Lynwood,California,369,18569,90986,1314346
SAINT FRANCIS MEMORIAL HOSPITAL,San Francisco,California,205,4606,24304,842957
SAINT HELENA HOSPITAL NAPA VALLEY,Saint Helena,California,181,5380,23053,854753
SAINT JOHN'S HEALTH CENTER,Santa Monica,California,266,11936,55075,1020894
SAINT JOHN'S PLEASANT VALLEY HOSPITAL,Camarillo,California,180,3065,13351,389483
SAINT JOHN'S REGIONAL MEDICAL CENTER,Oxnard,California,265,10543,49355,997648
SAINT JOSEPH HEALTH SAINT MARY ,Apple Valley,California,212,16799,67260,1226810
SAINT JOSEPH HOSPITAL,Orange,California,379,17820,76809,2407853
SAINT JOSEPH HOSPITAL,Eureka,California,160,6094,26830,788822
SAINT JOSEPH'S MEDICAL CENTER,Stockton,California,359,15232,73842,1821709
SAINT JUDE MEDICAL CENTER,Fullerton,California,362,13797,62411,1666444
SAINT LOUISE REGIONAL HOSPITAL,Gilroy,California,72,3021,12128,421457
SAINT MARY MEDICAL CENTER,Long Beach,California,302,10330,47761,803592
SAINT MARY'S MEDICAL CENTER,San Francisco,California,213,4648,20886,862297
SAINT ROSE HOSPITAL,Hayward,California,217,6678,32066,667167
SAINT VINCENT MEDICAL CENTER,Los Angeles,California,366,8156,38883,1153996
SALINAS VALLEY MEMORIAL HOSPITAL,Salinas,California,251,11962,48634,897401
SAN ANTONIO COMMUNITY HOSPITAL,Upland,California,279,15788,53505,1221435
SAN DIMAS COMMUNITY HOSPITAL,San Dimas,California,64,4073,14661,258081
SAN FRANCISCO GENERAL HOSPITAL,San Francisco,California,477,13702,73278,2206540
SAN FRANCISCO VA MEDICAL CENTER,San Francisco,California,0,0,0,
SAN GABRIEL VALLEY MEDICAL CENTER,San Gabriel,California,269,9248,41786,1003942
SAN GORGONIO MEMORIAL HOSPITAL,Banning,California,77,3283,13892,209089
SAN JOAQUIN COMMUNITY HOSPITAL,Bakersfield,California,259,17883,75671,1449244
SAN JOAQUIN GENERAL HOSPITAL,French Camp,California,181,8506,40222,770505
SAN LEANDRO HOSPITAL,San Leandro,California,93,3057,12903,278709
SAN MATEO MEDICAL CENTER,San Mateo,California,415,2794,11787,376528
SAN RAMON REGIONAL MEDICAL CENTER,San Ramon,California,123,4443,18632,639046
SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,California,356,17194,76690,1264788
SANTA CLARA VALLEY MEDICAL CENTER,San Jose,California,571,18746,95186,2407283
SANTA ROSA MEMORIAL HOSPITAL,Santa Rosa,California,278,11559,56009,1722232
SCRIPPS GREEN HOSPITAL,La Jolla,California,173,10027,37779,1555037
SCRIPPS MEMORIAL HOSPITAL ENCINITAS,Encinitas,California,155,8721,33803,833256
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,La Jolla,California,332,16311,81415,1913971
SCRIPPS MERCY HOSPITAL,San Diego,California,589,31340,145575,2794569
SCRIPPS MERCY HOSPITAL CHULA VISTA,Chula Vista,California,0,0,0,
SCRIPPS MERCY HOSPITAL CHULA VISTA,Chula Vista,California,173,9592,47697,310012
SEQUOIA HOSPITAL,Redwood City,California,189,5971,26430,1034676
SETON MEDICAL CENTER,Daly City,California,371,7080,34689,1486709
SETON MEDICAL CENTER COASTSIDE,Moss Beach,California,121,57,57,27294
SETON MEDICAL CENTER COASTSIDE,Moss Beach,California,0,0,0,
SHARP CHULA VISTA MEDICAL CENTER,Chula Vista,California,343,14042,68330,1489770
SHARP CORONADO HOSPITAL,Coronado,California,181,2408,7735,263116
SHARP GROSSMONT HOSPITAL,La Mesa,California,540,26909,110478,2969425
SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,San Diego,California,0,0,0,
SHARP MEMORIAL HOSPITAL,San Diego,California,881,30578,157610,3806816
SHASTA REGIONAL MEDICAL CENTER,Redding,California,183,7957,28329,798836
SHERMAN OAKS HOSPITAL,Sherman Oaks,California,153,3743,17560,297271
SIERRA NEVADA MEMORIAL HOSPITAL,Grass Valley,California,121,5726,17932,452781
SIERRA VIEW DISTRICT HOSPITAL,Porterville,California,163,6665,29804,574426
SIERRA VISTA REGIONAL MEDICAL CENTER,San Luis Obispo,California,164,5548,24976,664984
SILVER LAKE MEDICAL CENTER - DOWNTOWN,Los Angeles,California,211,5843,55596,192554
SIMI VALLEY HOSPITAL,Simi Valley,California,144,5132,22957,466070
SONOMA DEVELOPMENTAL CENTER,Eldridge,California,13,81,1350,143638
SONOMA VALLEY HOSPITAL,Sonoma,California,83,1366,5335,189667
SONORA REGIONAL MEDICAL CENTER,Sonora,California,152,4643,16990,755533
SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,Culver City,California,406,7021,35870,661412
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,Hollywood,California,579,13377,73190,833286
STANFORD HOSPITAL,Stanford,California,466,24744,131128,9407606
STANISLAUS SURGICAL HOSPITAL,Modesto,California,23,700,1699,129664
SUBURBAN MEDICAL CENTER,Paramount,California,177,5764,21686,305756
SUTTER AMADOR HOSPITAL,Jackson,California,52,2424,8675,204611
SUTTER AUBURN FAITH HOSPITAL,Auburn,California,72,3735,12143,385815
SUTTER COAST HOSPITAL,Crescent City,California,49,2279,7870,213750
SUTTER DAVIS HOSPITAL,Davis,California,48,3346,11310,305045
SUTTER DELTA MEDICAL CENTER,Antioch,California,145,7591,28675,651069
SUTTER GENERAL HOSPITAL,Sacramento,California,0,0,0,
SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ,Santa Cruz,California,30,1454,5272,147875
SUTTER MEMORIAL HOSPITAL,Sacramento,California,754,29602,135121,3130882
SUTTER ROSEVILLE MEDICAL CENTER,Roseville,California,328,18607,69080,1617562
SUTTER SANTA ROSA REGIONAL HOSPITAL,Santa Rosa,California,116,6194,24846,482821
SUTTER SOLANO MEDICAL CENTER,Vallejo,California,102,4523,19023,554008
SUTTER SURGICAL HOSPITAL - NORTH VALLEY,Yuba City,California,14,590,1224,66527
SUTTER TRACY COMMUNITY HOSPITAL,Tracy,California,82,3606,12248,423254
TEMECULA VALLEY HOSPITAL,Temecula,California,140,2905,9774,188896
TEMPLE COMMUNITY HOSPITAL,Los Angeles,California,170,1612,9363,148959
THE VETERANS HOME OF CALIFORNIA - YOUNTVILLE,Yountville,California,415,23,82,67760
THOUSAND OAKS SURGICAL HOSPITAL,Thousand Oaks,California,21,1284,2877,175711
TORRANCE MEMORIAL MEDICAL CENTER,Torrance,California,352,21732,89551,2601779
TRI-CITY MEDICAL CENTER,Oceanside,California,355,14490,63950,1294636
TRI-CITY REGIONAL MEDICAL CENTER,Hawaiian Gardens,California,107,3130,15388,221465
TULARE REGIONAL MEDICAL CENTER,Tulare,California,108,4732,20073,264863
TWIN CITIES COMMUNITY HOSPITAL,Templeton,California,122,4951,20088,628094
UC SAN DIEGO HEALTH SYSTEM - HILLCREST,San Diego,California,559,25955,149339,3004859
UC SAN DIEGO HEALTH SYSTEM - LA JOLLA,La Jolla,California,0,0,0,
"UCLA MEDICAL CENTER, SANTA MONICA",Santa Monica,California,266,17310,80588,1087760
UKIAH VALLEY MEDICAL CENTER,Ukiah,California,45,3819,13059,358625
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,Sacramento,California,578,29942,168288,6656474
UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,Orange,California,412,19401,95241,3261308
UNIVERSITY OF CALIFORNIA SAN FRANCISCO MEDICAL CENTER AT MOUNT ZION,San Francisco,California,0,0,0,
UNIVERSITY OF CALIFORNIA SAN FRANCISCO MEDICAL CENTER AT PARNASSUS,San Francisco,California,650,29143,179186,7674557
UNIVERSITY OF SOUTHERN CALIFORNIA/NORRIS COMPREHENSIVE CANCER CENTER,Los Angeles,California,60,828,6868,444297
VA CENTRAL CALIFORNIA HEALTH CARE SYSTEM,Fresno,California,0,0,0,
VA GREATER LOS ANGELES HEALTHCARE SYSTEM - WEST LOS ANGELES MEDICAL CENTER,Los Angeles,California,0,0,0,
VA LOMA LINDA HEALTHCARE SYSTEM - JERRY L. PETTIS MEMORIAL VA MEDICAL CENTER,Loma Linda,California,0,0,0,
VA LONG BEACH HEALTHCARE SYSTEM ,Long Beach,California,0,0,0,
VA NORTHERN CALIFORNIA HEALTH CARE SYSTEM - SACRAMENTO VA MEDICAL CENTER,Mather,California,0,0,0,
VA PALO ALTO HEALTH CARE SYSTEM - PALO ALTO DIVISION,Palo Alto,California,0,0,0,
VA SAN DIEGO HEALTHCARE SYSTEM - SAN DIEGO VA MEDICAL CENTER,San Diego,California,0,0,0,
VALLEY MEMORIAL CENTER,Livermore,California,197,7115,36077,1125848
VALLEY PRESBYTERIAN HOSPITAL,Van Nuys,California,350,15589,76304,866951
VALLEYCARE MEDICAL CENTER,Pleasanton,California,0,0,0,
VENTURA COUNTY MEDICAL CENTER,Ventura,California,272,9314,44026,1105673
VICTOR VALLEY GLOBAL MEDICAL CENTER,Victorville,California,101,6441,21177,293818
WASHINGTON HOSPITAL,Fremont,California,299,13776,62623,2102753
WATSONVILLE COMMUNITY HOSPITAL,Watsonville,California,106,4663,20547,751979
WEED ARMY COMMUNITY HOSPITAL,Fort Irwin,California,0,0,0,
WEST ANAHEIM MEDICAL CENTER,Anaheim,California,219,6569,22800,404046
WEST HILLS HOSPITAL & MEDICAL CENTER,West Hills,California,225,8111,42731,1298605
WESTERN MEDICAL CENTER ANAHEIM,Anaheim,California,183,3621,28335,215500
WESTERN MEDICAL CENTER SANTA ANA,Santa Ana,California,228,7352,37509,715561
WHITE MEMORIAL MEDICAL CENTER,Los Angeles,California,353,19823,84580,1853600
WHITTIER HOSPITAL MEDICAL CENTER,Whittier,California,178,7654,30331,716330
WOODLAND HEALTHCARE,Woodland,California,108,2294,10270,503465
"10TH MEDICAL GROUP, UNITED STATES AIR FORCE ACADEMY HOSPITAL",U.S. Air Force Academy,Colorado,0,0,0,
ANIMAS SURGICAL HOSPITAL,Durango,Colorado,12,545,1181,68057
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,La Junta,Colorado,146,1600,4529,77304
AVISTA ADVENTIST HOSPITAL,Louisville,Colorado,114,4459,17927,314843
BOULDER COMMUNITY HOSPITAL,Boulder,Colorado,167,8692,31742,1042960
CASTLE ROCK ADVENTIST HOSPITAL,Castle Rock,Colorado,0,0,0,
COLORADO PLAINS MEDICAL CENTER,Fort Morgan,Colorado,50,1469,3573,118317
COMMUNITY HOSPITAL,Grand Junction,Colorado,42,1409,4690,156974
DELTA COUNTY MEMORIAL HOSPITAL,Delta,Colorado,49,1761,5707,126680
DENVER HEALTH,Denver,Colorado,398,17708,91089,1761616
EXEMPLA GOOD SAMARITAN MEDICAL CENTER,Lafayette,Colorado,215,12180,50294,1075266
EXEMPLA SAINT JOSEPH HOSPITAL,Denver,Colorado,330,18218,85739,1842093
FORT CARSON MEDDAC & EVANS UNITED STATES ARMY HOSPITAL,Fort Carson,Colorado,0,0,0,
GRAND JUNCTION VA MEDICAL CENTER,Grand Junction,Colorado,0,0,0,
KEEFE MEMORIAL HOSPITAL,Cheyenne Wells,Colorado,11,64,243,3706
LITTLETON ADVENTIST HOSPITAL,Littleton,Colorado,188,9244,41172,941115
LONGMONT UNITED HOSPITAL,Longmont,Colorado,140,7045,29892,502815
LUTHERAN MEDICAL CENTER,Wheat Ridge,Colorado,359,13769,55942,1315595
MCKEE MEDICAL CENTER,Loveland,Colorado,115,4862,15207,328435
MEDICAL CENTER OF THE ROCKIES,Loveland,Colorado,146,7606,30341,670786
MEMORIAL HOSPITAL CENTRAL,Colorado Springs,Colorado,447,18586,87730,1996793
MEMORIAL HOSPITAL NORTH,Colorado Springs,Colorado,0,0,0,
MERCY REGIONAL MEDICAL CENTER,Durango,Colorado,82,4192,14932,348649
MONTROSE MEMORIAL HOSPITAL,Montrose,Colorado,63,2682,8391,159480
NATIONAL JEWISH HEALTH MAIN CAMPUS,Denver,Colorado,24,66,152,143383
NORTH COLORADO MEDICAL CENTER,Greeley,Colorado,269,12650,48694,917987
NORTH SUBURBAN MEDICAL CENTER,Thornton,Colorado,119,6773,28458,832168
ORTHOCOLORADO HOSPITAL,Lakewood,Colorado,48,2078,4504,197092
PARKER ADVENTIST HOSPITAL,Parker,Colorado,173,7312,30187,739925
PARKVIEW MEDICAL CENTER,Pueblo,Colorado,333,11747,65433,1310060
PENROSE-ST. FRANCIS HOSPITAL,Colorado Springs,Colorado,421,21533,86712,1829856
PLATTE VALLEY MEDICAL CENTER,Brighton,Colorado,89,3197,11074,223056
PORTER ADVENTIST HOSPITAL,Denver,Colorado,234,8525,35481,994819
POUDRE VALLEY HOSPITAL,Fort Collins,Colorado,219,12817,51079,984376
PRESBYTERIAN/SAINT LUKE'S MEDICAL CENTER,Denver,Colorado,363,10872,79119,1761867
ROSE MEDICAL CENTER,Denver,Colorado,244,12621,56110,1349254
SAINT ANTHONY HOSPITAL,Lakewood,Colorado,202,10060,52205,1320278
SAINT ANTHONY NORTH HOSPITAL,Westminster,Colorado,138,5826,23788,548020
SAINT ANTHONY SUMMIT MEDICAL CENTER,Frisco,Colorado,34,1175,3830,130700
